project_id, project name
1, 'peg-acr thin film polymers'
2, '3.4k PEG2P test for ePANDA'
3, 'Pipette accuracy with water'
4, 'Layred desposition of thin films'
5, 'AL203 thin film luminescence'
6, 'Reverse vs forward pipetting'
7, 'Vial depth calculation test'
8, 'Pipette wear testing'
9, 'Pipette accuracy with viscous liquids'
10, 'Pipette calibration with viscous liquids'
11, 'Pipette with correction factor'
12, 'FeCN3 Repeatibility (exp A)'
13, 'Contamination assessment (exp B)'
14, 'Rinsing assessment (exp C)'
15, 'Mixing assessment (exp D)'
16, 'EDOT Bleaching'